Trade Name,Generic/Proper Name(s),Active Ingredient(s),Cardiotoxicity,Label Section ,DICT _ Concern,Keywords,DIC Severity Level
Gavreto,PRALSETINIB,PRALSETINIB,Heart Damage,wp,less,Hypertension,mild
Tivicay; Tivicay PD,DOLUTEGRAVIR SODIUM,DOLUTEGRAVIR SODIUM,NA,CLINICAL PHARMACOLOGY,no, not prolong QT interval,
VELTASSA,PATIROMER,patiromer,NA,no,no,,
Nexletol,BEMPEDOIC ACID,Bempedoic Acid,Arrhythmia,ar,less,Atrial Fibrillation,mild
Aubagio,TERIFLUNOMIDE,TERIFLUNOMIDE,Heart Damage,wp,less,Increased Blood Pressure,mild
Epidiolex,CANNABIDIOL,CANNABIDIOL,NA,no,no,,
LEUKERAN,CHLORAMBUCIL,CHLORAMBUCIL,NA,no,no,,
MEKTOVI,BINIMETINIB,BINIMETINIB,Heart Damage,wp,most,Cardiomyopathy,severe
Zorvolex,DICLOFENAC,DICLOFENAC,Heart Damage,bw,most,myocardial infarction ,severe
NURTEC ODT,RIMEGEPANT SULFATE,RIMEGEPANT SULFATE,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
Conjupri,LEVAMLODIPINE,LEVAMLODIPINE MALEATE,Heart Damage,wp,most, myocardial infarction,severe
Codeine sulfate,CODEINE SULFATE,CODEINE SULFATE,Heart Damage,wp,less,hypotension ,mild
Nalfon,FENOPROFEN CALCIUM,FENOPROFEN CALCIUM,Heart Damage,bw,most,myocardial infarction ,
INVOKANA,CANAGLIFLOZIN,canagliflozin,NA,CLINICAL PHARMACOLOGY,no,No meaningful changes in QTc interval ,
Endari,GLUTAMINE,Glutamine,NA,no,no,,
BELVIQ XR Extended Release Extended Release,LORCASERIN HYDROCHLORIDE,LORCASERIN HYDROCHLORIDE ANHYDROUS,Mixed,wp,most,Regurgitant cardiac valvular disease/Heart Rate Decreas es,severe
Daliresp,ROFLUMILAST,roflumilast,Arrhythmia,ar,less,atrial fibrillation,mild
DAYVIGO,LEMBOREXANT,LEMBOREXANT,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTcF interval,
Celontin,METHSUXIMIDE,METHSUXIMIDE,NA,no,no,,
Levocarnitine,LEVOCARNITINE,LEVOCARNITINE,NA,no,no,,
PIQRAY,ALPELISIB,ALPELISIB,NA,sp,ambiguous,hypersensitivity reactions:tachycardia,mild
BELSOMRA,SUVOREXANT,suvorexant,Arrhythmia,ar,less,tachycardia,mild
Ocaliva,OBETICHOLIC ACID,Obeticholic Acid,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTcF interval,
Talzenna,TALAZOPARIB,TALAZOPARIB TOSYLATE,NA,CLINICAL PHARMACOLOGY,ambiguous,"no large QTc prolongation (i.e., >20 ms)",
Karbinal ER,CARBINOXAMINE MALEATE,CARBINOXAMINE MALEATE,Mixed,ar,less,tachycardia/Hypotension,mild
E.E.S; E.E.S 400,ERYTHROMYCIN ETHYLSUCCINATE,Erythromycin Ethylsuccinate,Arrhythmia,wp,most,torsades de pointes,moderate
Fluphenazine Hydrochloride,FLUPHENAZINE HYDROCHLORIDE,FLUPHENAZINE HYDROCHLORIDE,NA,sp,ambiguous,cardiovascular death in  elderly patients,severe
Bupropion Hydrochloride (XL),BUPROPION HYDROCHLORIDE,BUPROPION HYDROCHLORIDE,Heart Damage,wp,less,hypertension,mild
Desvenlafaxine Succinate,DESVENLAFAXINE SUCCINATE,DESVENLAFAXINE SUCCINATE,Heart Damage,wp,less,Elevated Blood Pressure,mild
Tetrabenazine,TETRABENAZINE,TETRABENAZINE,Mixed,wp,most,QTc Prolongation/Hypotension,moderate
Naltrexone Hydrochloride,NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,Mixed,ar,less,tachycardia/ increased blood pressure,mild
Cefuroxime axetil,CEFUROXIME AXETIL,CEFUROXIME AXETIL,Mixed,ar,less,chest pain/tachycardia ,moderate
Pyrimethamine,PYRIMETHAMINE,PYRIMETHAMINE,Arrhythmia,ar,less,disorders of cardiac rhythm,mild
Alprazolam,ALPRAZOLAM,ALPRAZOLAM,Mixed,ar,less ,hypotension/Tachycardia,mild
ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE,NA,no,no,,
Isradipine,ISRADIPINE,ISRADIPINE,Heart Damage,wp,less,symptomatic hypotension,mild
Atovaquone,ATOVAQUONE,ATOVAQUONE,NA,no,no,,
Calcium Acetate,CALCIUM ACETATE,CALCIUM ACETATE,NA,no,no,,
Indomethacin,INDOMETHACIN,INDOMETHACIN,Heart Damage,bw,most,myocardial infarction,severe
Sucralfate,SUCRALFATE,SUCRALFATE,NA,no,no,,
Bosentan,BOSENTAN,BOSENTAN ANHYDROUS,Mixed,ar,less,Palpitations/Hypotension,mild
Desmopressin Acetate,DESMOPRESSIN ACETATE,DESMOPRESSIN ACETATE,NA,sp,ambiguous,possible rise in blood pressure in patients with coronary artery insufficiency,
Glipizide,GLIPIZIDE,GLIPIZIDE,NA,sp,ambiguous,cardiovascular mortality with Sulfonylureas,severe
COLESTIPOL HYDROCHLORIDE,COLESTIPOL HYDROCHLORIDE,COLESTIPOL HYDROCHLORIDE,Mixed,ar,less,angina/tachycardia ,moderate
Felbamate,FELBAMATE,FELBAMATE,Mixed,ar,less,tachycardia/cardiac failure,severe
HYDROXYUREA,HYDROXYUREA,HYDROXYUREA,NA,no,no,,
Loxapine,LOXAPINE,LOXAPINE SUCCINATE,Mixed,ar,less,Tachycardia/hypotension,severe
METHYLPREDNISOLONE,METHYLPREDNISOLONE,METHYLPREDNISOLONE,NA,sp,ambiguous,Hypertension(Fluid and Electrolyte Disturbances),mild
PIOGLITAZONE,PIOGLITAZONE,PIOGLITAZONE,Heart Damage,bw,most,CONGESTIVE HEART FAILURE,severe
acyclovir,ACYCLOVIR,ACYCLOVIR,NA,no,no,,
Morphine Sulfate Extended Release,MORPHINE SULFATE,MORPHINE SULFATE,Heart Damage,wp,less,hypotension,mild
Paroxetine,PAROXETINE,PAROXETINE HYDROCHLORIDE HEMIHYDRATE,Mixed,ar,less,tachycardia/ hypertension,mild
Prazosin Hydrochloride,PRAZOSIN HYDROCHLORIDE,PRAZOSIN HYDROCHLORIDE,Mixed,wp,less,syncope /tachycardia,mild
ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,Mixed,ar,less,tachycardia/angina pectoris,mild
Mycophenolic Acid,MYCOPHENOLIC ACID,MYCOPHENOLATE SODIUM,Mixed,ar,less,tachycardia/ Hypertension,mild
Triamterene,TRIAMTERENE CAPSULES,TRIAMTERENE,NA,no,no,,
RIZATRIPTAN BENZOATE,RIZATRIPTAN BENZOATE,RIZATRIPTAN BENZOATE,Mixed,wp,most,acute myocardial infarction/Arrhythmi,severe
Tacrolimus,TACROLIMUS; TACROLIMUS CAPSULES,TACROLIMUS,Mixed,wp,most,prolong the QT/QTc interval /Myocardial Hypertrophy ,moderate
ibuprofen,IBUPROFEN,IBUPROFEN,Heart Damage,bw,most,myocardial infarction,severe
Hydrocortisone,HYDROCORTISONE,HYDROCORTISONE,NA,sp,ambiguous,Hypertension(Fluid and Electrolyte Disturbances),mild
Rufinamide,RUFINAMIDE,RUFINAMIDE,Arrhythmia,wp,less,QT Shortening,mild
Cimetidine,CIMETIDINE HYDROCHLORIDE,CIMETIDINE HYDROCHLORIDE,Arrhythmia,ar,less,tachycardia,mild
Clonidine hydrochloride,CLONIDINE HYDROCHLORIDE,CLONIDINE HYDROCHLORIDE,Arrhythmia,wp,less,atrioventricular (AV) block,mild
methazolamide,METHAZOLAMIDE,METHAZOLAMIDE,NA,no,no,,
Metoprolol Succinate,METOPROLOL SUCCINATE,METOPROLOL TARTRATE,Heart Damage,bw,most,myocardial infarction,severe
Sirolimus,SIROLIMUS,SIROLIMUS,Mixed,ar,less,Pericardial effusion/tachycardia,severe
Torsemide,TORSEMIDE,TORSEMIDE,Mixed,ar,less,atrial fibrillation/hypotension,mild
Oxcarbazepine,OXCARBAZEPINE,OXCARBAZEPINE,Mixed,ar,less,cardiac failure/tachycardia,severe
"Ergocalciferol Capsules,","ERGOCALCIFEROL CAPSULES,",ERGOCALCIFEROL,NA,sp,ambiguous,hypertension(Impairment of renal function),mild
Clindamycin Palmitate Hydrochloride,CLINDAMYCIN PALMITATE HYDROCHLORIDE,CLINDAMYCIN PALMITATE HYDROCHLORIDE,NA,no,no,,
meloxicam,MELOXICAM,MELOXICAM,Heart Damage,bw,most,myocardial infarction,severe
PredniSONE,PREDNISONE,PREDNISONE,NA,sp,ambiguous,Hypertension(Fluid and Electrolyte Disturbances),
METHITEST,METHYLTESTOSTERONE,METHYLTESTOSTERONE,Heart Damage,ar,less,Myocardial infarction,severe
Glycopyrrolate,GLYCOPYRROLATE,GLYCOPYRROLATE,Arrhythmia,ar,less,tachycardia,mild
deferasirox,DEFERASIROX,DEFERASIROX,NA,CLINICAL PHARMACOLOGY,no, not prolong QT interval,
Isoniazid,ISONIAZID,ISONIAZID,NA,no,no,,
FLUDROCORTISONE ACETATE,FLUDROCORTISONE ACETATE,FLUDROCORTISONE ACETATE,Heart Damage,ar,less,cardiac enlargemen/congestive heart failure,severe
VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,Mixed,wp,most,Heart failure/Atrioventricular block,severe
Zileuton,ZILEUTON,ZILEUTON,NA,no,no,,
Propantheline Bromide,PROPANTHELINE BROMIDE,PROPANTHELINE BROMIDE,Arrhythmia,ar,less,tachycardia,mild
Sertraline,SERTRALINE,SERTRALINE HYDROCHLORIDE,Arrhythmia,wp,most,"QTc prolongation and Torsade de
Pointes (TdP)",moderate
Bisoprolol Fumarate,BISOPROLOL FUMARATE,BISOPROLOL FUMARATE,Heart Damage,wp,most, cardiac failure,severe
Vardenafil Hydrochloride,VARDENAFIL HYDROCHLORIDE,VARDENAFIL,Arrhythmia,wp,most,Congenital or Acquired QT Prolongation,moderate
Aminocaproic acid,AMINOCAPROIC ACID,AMINOCAPROIC ACID,Heart Damage,wp,less,cardiac and hepatic lesions ,mild
Telmisartan,TELMISARTAN,TELMISARTAN,Heart Damage,wp,less,hypotension,mild
LAMOTRIGINE,LAMOTRIGINE,LAMOTRIGINE,Mixed,ar,less, hypertension/palpitations,mild
Fenofibrate,FENOFIBRATE,FENOFIBRATE,NA,no,no,no effect on coronary heart disease,
montelukast sodium,MONTELUKAST SODIUM,MONTELUKAST SODIUM,Arrhythmia,ar,less,palpitations,mild
Metolazone,METOLAZONE,METOLAZONE,Mixed,ar,less,palpitations/Chest pain,mild
Disulfiram,DISULFIRAM,DISULFIRAM,NA,no,no,,
Megestrol Acetate,MEGESTROL ACETATE,MEGESTROL ACETATE,Mixed,ar,less,cardiomyopathy/ palpitation,severe
METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,Heart Damage,bw,most,myocardial infarction,severe
acarbose,ACARBOSE,ACARBOSE,NA,no,no,,
Clindamycin Hydrochloride,CLINDAMYCIN HYDROCHLORIDE,CLINDAMYCIN HYDROCHLORIDE,NA,no,no,,
Jencycla,NORETHINDRONE,NORETHINDRONE,NA,no,no,,
GLYBURIDE,GLYBURIDE,GLYBURIDE,NA,sp,ambiguous,cardiovascular mortality with Sulfonylureas,
Estropipate,ESTROPIPATE,ESTROPIPATE,Heart Damage,bw,most,myocardial infarction,severe
Levocetirizine Dihydrochloride,LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,Arrhythmia,ar,less,tachycardia,mild
colchicine,COLCHICINE,COLCHICINE,NA,no,no,,
PENTOXIFYLLINE,PENTOXIFYLLINE,PENTOXIFYLLINE,Mixed,ar,less,Angina/Arrhythmia,moderate
zaleplon,ZALEPLON,ZALEPLON,Mixed,ar,less,tachycardia/ angina pectoris,mild
METHSCOPOLAMINE BROMIDE,METHSCOPOLAMINE BROMIDE,METHSCOPOLAMINE BROMIDE,Arrhythmia,ar,less,tachycardia,mild
KETOCONAZOLE,KETOCONAZOLE,KETOCONAZOLE,Arrhythmia,bw,most,"life-threatening ventricular
dysrhythmias ",severe
CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL,Heart Damage,wp,less,symptomatic hypotension,mild
Esomeprazole magnesium,ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,Mixed,ar,less,tachycardia/hypertension,mild
Quinidine Gluconate,QUINIDINE GLUCONATE,QUINIDINE GLUCONATE,Arrhythmia,ar,Less,arrhythmia,severe
Amoxapine,AMOXAPINE,AMOXAPINE,Mixed,ar,less,tachycardia/hypertension,mild
PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,Mixed,ar,less,tachycardia/ Increased or decreased blood pressure,mild
Labetalol Hydrochloride,LABETALOL HYDROCHLORIDE,LABETALOL,Heart Damage,wp,most,Congestive heart failure,severe
Dofetilide,DOFETILIDE,DOFETILIDE,Arrhythmia,bw,most,arrhythmia,mild
Modafinil,MODAFINIL,MODAFINIL,NA,sp,ambiguous,Hypersensitivity Reactions:myocarditis,severe
Famciclovir,FAMCICLOVIR,FAMCICLOVIR,Arrhythmia,ar,less,Palpitations,mild
Albuterol,ALBUTEROL,Albuterol,Mixed,wp,most,prolongation of the QTc interval/hypertension,moderate
Ethambutol Hydrochloride,ETHAMBUTOL HYDROCHLORIDE,ETHAMBUTOL HYDROCHLORIDE,NA,sp,ambiguous,Hypersensitivity syndrome:myocarditis,severe
GEMFIBROZIL,GEMFIBROZIL,GEMFIBROZIL,Arrhythmia,ar,less,extrasystoles,mild
Melphalan,"MELPHALAN USP, 2 MG",MELPHALAN,Arrhythmia,ar,less,Cardiac arrest,severe
Diazepam,DIAZEPAM,DIAZEPAM,Heart Damage,ar,less,hypotension,mild
Bosentan,BOSENTAN,BOSENTAN,Mixed,ar,less ,Palpitations/Hypotension,mild
Moexipril Hydrochloride,MOEXIPRIL HYDROCHLORIDE,MOEXIPRIL HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild
Chlorthalidone,CHLORTHALIDONE,CHLORTHALIDONE,Heart Damage,ar,less,hypotension,mild
Fluvastatin,FLUVASTATIN,FLUVASTATIN SODIUM,Mixed,ar,less,Atrial fibrillation/Hypertension,mild
Probenecid,PROBENECID,PROBENECID,NA,no,no,,
Guanfacine,GUANFACINE,GUANFACINE HYDROCHLORIDE,Mixed,wp,less,decreases in blood pressure/heart rate,mild
almotriptan,ALMOTRIPTAN,almotriptan malate,Mixed,wp,most,acute myocardial infarction/cardiac rhythm,severe
Colesevelam,COLESEVELAM,COLESEVELAM HYDROCHLORIDE,NA,no,no,,
NIZATIDINE,NIZATIDINE,NIZATIDINE,Arrhythmia,ar,less,ventricular tachycardia ,moderate
TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,NA,no,no,,
Cartia XT,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,Mixed,wp,most,third-degree AV block/hypotension,moderate
Felodipine,FELODIPINE,FELODIPINE,Heart Damage,wp,less,hypotension,mild
Risedronate Sodium,RISEDRONATE SODIUM,RISEDRONATE SODIUM,Arrhythmia,ar,less,Hypertension,mild
Cephalexin,CEPHALEXIN,CEPHALEXIN,NA,no,no,,
Diazoxide,DIAZOXIDE,DIAZOXIDE,Mixed,ar,less,Tachycardia//Chest pain,mild
Ritonavir,RITONAVIR,RITONAVIR,Mixed,wp,most,cardiomyopathy/third degree atrioventricular block,severe
Acetazolamide,ACETAZOLAMIDE,ACETAZOLAMIDE,NA,no,no,,
Lorazepam,LORAZEPAM,LORAZEPAM,NA,sp,ambiguous,"hypotension may occur but are usually not clinically
significant",mild
Lurasidone Hydrochloride,LURASIDONE HYDROCHLORIDE,LURASIDONE HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild
Dutasteride,DUTASTERIDE,DUTASTERIDE,Heart Damage,ar,less,cardiac failure ,severe
Exemestane,EXEMESTANE,Exemestane,Heart Damage,ar,less,"myocardial infarction, angina, and myocardial ischemia",severe
Fosinopril sodium,FOSINOPIRL SODIUM; FOSINOPRIL SODIUM,FOSINOPRIL SODIUM,Heart Damage,wp,less,hypotension,mild
Sodium Phenylbutyrate,SODIUM PHENYLBUTYRATE,SODIUM PHENYLBUTYRATE,Arrhythmia,ar,less,arrhythmia,mild
Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE,Mixed,wp,most,QTc Prolongation/Hypotension,moderate
ENTECAVIR,ENTECAVIR,ENTECAVIR ANHYDROUS,NA,no,no,,
cilostazol,CILOSTAZOL,CILOSTAZOL,Mixed,wp,most,tachyarrhythmia/ hypotension,moderate
OLANZAPINE,OLANZAPINE,OLANZAPINE,Mixed,wp,less,hypotension /tachycardia,mild
Disopyramide Phosphate,DISOPYRAMIDE PHOSPHATE,DISOPYRAMIDE PHOSPHATE,Mixed,wp,most,congestive heart failure/Q-T Prolongation,severe
Danazol,DANAZOL,DANAZOL,Mixed,wp,less,cardiac or renal dysfunction,mild
Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE,Heart Damage,wp,less,symptomatic hypotension,mild
doxycycline,DOXYCYCLINE,DOXYCYCLINE,NA,sp,ambiguous,Hypersensitivity Reactions:pericarditis,severe
Ergomar Sublingual,ERGOTAMINE TARTRATE,Ergotamine Tartrate,Mixed,ar,less,tachycardia/ischemia,mild
Azathioprine,AZATHIOPRINE,AZATHIOPRINE,NA,no,no,,
Chlorhexidine gluconate,CHLORHEXIDINE GLUCONATE,CHLORHEXIDINE GLUCONATE,NA,sp,ambiguous,allergic symptoms:rapid heart rate,mild
Carbidopa,CARBIDOPA,CARBIDOPA,Mixed,ar,less,myocardial infarction/palpitation,severe
montelukast sodium,MONTELUKAST SODIUM,MONTELUKAST,Arrhythmia,ar,less,palpitations,mild
Chlordiazepoxide Hydrochloride,CHLORDIAZEPOXIDE HYDROCHLORIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE,NA,no,no,,
Maraviroc,MARAVIROC,MARAVIROC,Heart Damage,wp,most,myocardial ischemia and/or infarction,severe
Imipramine Pamoate,IMIPRAMINE PAMOATE,IMIPRAMINE PAMOATE,Mixed,ar,less,tachycardia,mild
Flecainide Acetate,FLECAINIDE ACETATE,FLECAINIDE ACETATE,Mixed,bw,most,cardiac arrest/HEART FAILURE,severe
Amantadine HCl,AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE,Mixed,wp,less,tachycardia/hyper- or hypotension,mild
Ethacrynic acid,ETHACRYNIC ACID,ETHACRYNIC ACID,Heart Damage,wp,less,acute hypotensive episode,mild
eletriptan hydrobromide,ELETRIPTAN HYDROBROMIDE,ELETRIPTAN HYDROBROMIDE,Mixed,wp,most,acute myocardial infarction/ventricular tachycardia,severe
Hydroxyzine Pamoate,HYDROXYZINE PAMOATE,HYDROXYZINE PAMOATE,Arrhythmia,wp,most,QT prolongation ,moderate
Erythrocin Stearate,ERYTHROMYCIN STEARATE,ERYTHROMYCIN STEARATE,Arrhythmia,wp,most,QT prolongation ,moderate
ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE,Heart Damage,wp,less,hypotension,mild
Nabumetone,NABUMETONE,NABUMETONE,Heart Damage,bw,most,myocardial infarction,severe
Sunitinib malate,SUNITINIB MALATE,SUNITINIB MALATE,Mixed,wp,most,cardiomyopathy/QT Interval Prolongation,severe
Cabergoline,CABERGOLINE,CABERGOLINE,Heart Damage,wp,most,cardiac valvulopathy,severe
RASAGILINE,RASAGILINE,RASAGILINE MESYLATE,Heart Damage,wp,less,hypertension,mild
ACITRETIN,ACITRETIN,ACITRETIN,Heart Damage,ar,less,Acute myocardial infarctio,severe
Oxybutynin Chloride,OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,Mixed,wp,most,congestive heart failure/cardiac arrhythmias,severe
Risperidone,RISPERIDONE,RISPERIDONE,Arrhythmia,ar,less,sinus tachycardia,mild
Diclofenac Potassium,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,Heart Damage,bw,most,myocardial infarction,severe
Ramipril,RAMIPRIL,RAMIPRIL,Heart Damage,wp,less,hypotension,mild
PRYIDOSTIGMINE BROMIDE,PYRIDOSTIGMINE BROMIDE,PYRIDOSTIGMINE BROMIDE,NA,no,no,,
Solifenacin Succinate,SOLIFENACIN SUCCIATE; SOLIFENACIN SUCCINATE,SOLIFENACIN SUCCINATE,Arrhythmia,ar,less,QT prolongation,moderate
Omeprazole,OMEPRAZOLE,OMEPRAZOLE,Mixed,ar,less,angina/tachycardia,moderate
QUININE SULFATE,QUININE SULFATE,QUININE SULFATE,Arrhythmia,wp,most,QT prolongation,moderate
Didanosine,DIDANOSINE,DIDANOSINE,NA,sp,ambiguous,non-cirrhotic portal hypertension ,
Memantine Hydrochloride,MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE,Heart Damage,ar,less,cardiac failure congestive,severe
Pioglitazone,PIOGLITAZONE,PIOGLITAZONE HYDROCHLORIDE,Heart Damage,bw,most,congestive heart failure,severe
Zenzedi,DEXTROAMPHETAMINE SULFATE,Dextroamphetamine Sulfate,Heart Damage,bw,most,SUDDEN DEATH/myocardial infarction,severe
Nebivolol,NEBIVOLOL,NEBIVOLOL HYDROCHLORIDE,Arrhythmia,ar,less,bradycardia,mild
voriconazole,VORICONAZOLE,VORICONAZOLE,Arrhythmia,wp,most,QT Prolongation &Torsade de Pointes,severe
Rimantadine Hydrochloride,RIMANTADINE HYDROCHLORIDE,RIMANTADINE HYDROCHLORIDE,Mixed,ar,less,cardiac failure/tachycardia,severe
Efavirenz,EFAVIRENZ,EFAVIRENZ,Arrhythmia,wp,most,QTc prolongation,moderate
CELECOXIB,CELECOXIB,CELECOXIB,Heart Damage,bw,most,myocardial infarction,severe
Cefadroxil,CEFADROXIL HEMIHYDRATE,CEFADROXIL HEMIHYDRATE,NA,no,no,,
Sumatriptan Succinate,SUMATRIPTAN SUCCINATE,SUMATRIPTAN SUCCINATE,Mixed,wp,most,acute myocardial infarction/ventricular tachycardia,severe
Haloperidol,HALOPERIDOL,HALOPERIDOL,Arrhythmia,wp,most,sudden death/Torsades de Pointes,severe
Clozapine,CLOZAPINE,CLOZAPINE,Mixed,bw,most,Cardiomyopathy/QT Interval Prolongation:,severe
Erlotinib,ERLOTINIB,ERLOTINIB,NA,sp,ambiguous,myocardial infarction( combination),severe
Azithromycin,AZITHROMYCIN,AZITHROMYCIN ANHYDROUS,Arrhythmia,wp,most,Prolonged QT interval,moderate
Abacavir,ABACAVIR,ABACAVIR SULFATE,Heart Damage,wp,most,myocardial infarction,severe
QUINIDINE SULFATE,QUINIDINE SULFATE TABLET,QUINIDINE SULFATE,Arrhythmia,wp,most,prolongs the QT interval,moderate
Irbesartan,IRBESARTAN,IRBESARTAN,NA,sp,ambiguous,symptomatic hypotension,mild
Prednisolone Sodium Phosphate,PREDNISOLONE SODIUM PHOSPHATE,PREDNISOLONE SODIUM PHOSPHATE,Heart Damage,wp,less,elevation of blood pressure,mild
Fosamprenavir Calcium,FOSAMPRENAVIR CALCIUM,FOSAMPRENAVIR CALCIUM,Heart Damage,ar,less,Myocardial infarction,severe
Isosorbide Dinitrate,ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE,Heart Damage,wp,less,hypotension,mild
Nifedipine,NIFEDIPINE,NIFEDIPINE,Mixed,ar,less,cardiac arrest/hypotension,severe
Fluoxetine,FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,Arrhythmia,wp,most,QT Prolongation,moderate
PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE,Mixed,ar,less,hypotension/cardiac arrest,mild
Ampicillin,AMPICILLIN,AMPICILLIN TRIHYDRATE,NA,no,no,,
Ambrisentan,AMBRISENTAN,AMBRISENTAN,Heart Damage,ar,less,hypotension,severe
Mycophenolic Acid,MYCOPHENILIC ACID,MYCOPHENOLIC ACID,Mixed,ar,less,Tachycardia/hypotension,mild
Risedronate Sodium,RISEDRONATE SODIUM,RISEDRONATE SODIUM HEMI-PENTAHYDRATE,Heart Damage,ar,less,Hypertension,mild
Colchicine,COLCHICINE,COLCHICEINE,NA,no,no,,
Sotalol Hydrochloride,SOTALOL HYDROCHLORIDE,SOTALOL HYDROCHLORIDE,Mixed,bw,most," life-threatening ventricular
tachycardia /Heart Failure",severe
Meclizine Hydrochloride,MECLIZINE HYDROCHLORIDE,MECLIZINE HYDROCHLORIDE,NA,no,no,,
TRIENTINE HYDROCHLORIDE,TRIENTINE HYDROCHLORIDE,TRIENTINE HYDROCHLORIDE,NA,no,no,,
Baclofen,BACLOFEN,BACLOFEN,Mixed,ar,less,palpitation/chest pain,mild
Bethanechol Chloride,BETHANECHOL CHLORIDE,BETHANECHOL CHLORIDE,Mixed,ar,less,all in blood pressure with reflex tachycardia,mild
Clarithromycin,CLARITHROMYCIN,CLARITHROMYCIN,Arrhythmia,wp,most,prolongation of the QT interval,moderate
CHLORZOXAZONE,CHLORZOXAZONE,CHLORZOXAZONE,NA,no,no,,
PRIMAQUINE PHOSPHATE,PRIMAQUINE PHOSPHATE,PRIMAQUINE PHOSPHATE,Arrhythmia,ar,less,QT interval prolongation,moderate
Venlafaxine Hydrochloride,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE,Heart Damage,wp,less,hypertension,mild
vigabatrin,VIGABATRIN,VIGABATRIN,NA,no,no,no indication of a QT/QTc prolonging effect,
Penicillamine,PENICILLAMINE,PENICILLAMINE,NA,no,no,,
Sevelamer Hydrochloride,SEVELAMER HYDROCHLORIDE,SEVELAMER HYDROCHLORIDE,NA,no,no,,
Metaproterenol Sulfate,METAPROTERENOL SULFATE,METAPROTERENOL SULFATE,Mixed,wp,less,ECG/blood pressure changes,mild
VALGANCICLOVIR HYDROCHLORIDE,VALGANCICLOVIR,VALGANCICLOVIR,Mixed,ar,less,arrhythmia/hypotension,mild
Liothyronine sodium,LIOTHYRONINE SODIUM,LIOTHYRONINE SODIUM,Mixed,ar,less,arrhythmias/heart failure,severe
Prasugrel,PRASUGREL,PRASUGREL HYDROCHLORIDE,Mixed,ar,less,Atrial fibrillation/Hypotension,mild
emtricitabine,EMTRICITABINE,EMTRICITABINE,NA,no,no,,
Valacyclovir Hydrochloride,VALACYCLOVIR,VALACYCLOVIR HYDROCHLORIDE,NA,no,no,,
GAVILAX,GAVILAX,POLYETHYLENE GLYCOL 3350,NA,no,no,,
Desloratadine,DESLORATADINE,DESLORATADINE,NA,CLINICAL PHARMACOLOGY,no,No clinically relevant adverse events,
PERPHENAZINE,PERPHENAZINE,PERPHENAZINE,Mixed,ar,less,cardiac arrest/hypotension,severe
DIMETHYL FUMARATE,DIMETHYL FUMARATE,DIMETHYL FUMARATE,NA,CLINICAL PHARMACOLOGY,no, not caused QT interval prolongation,
Bromocriptine Mesylate,BROMOCRIPTINE MESYLATE,BROMOCRIPTINE MESYLATE,Heart Damage,wp,most,myocardial infarction,severe
Nadolol,NADOLOL,NADOLOL,Mixed,ar,less,Cardiac failure/rhythm,severe
Propranolol Hydrochloride,PROPRANOLOL HYDROCHLORIDE,PROPRANOLOL HYDROCHLORIDE,Mixed,wp,most,myocardial infarction/bradycardia,severe
