Trade Name,Generic/Proper Name(s),Active Ingredient(s),DICT _ Concern,INPUT,SMILES
amitriptyline hydrochloride,amitriptyline hydrochloride,amitriptyline hydrochloride,most,amitriptyline hydrochloride,Cl.CN(C)CCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2
trimipramine maleate,trimipramine maleate,trimipramine maleate,less,trimipramine maleate,OC(=O)\C=C/C(O)=O.CC(CN(C)C)CN1C2=C(CCC3=C1C=CC=C3)C=CC=C2
niacor,niacin,niacin,less,niacin,OC(=O)C1=CC=CN=C1
toremifene citrate,toremifene citrate,toremifene citrate,most,toremifene citrate,OC(=O)CC(O)(CC(O)=O)C(O)=O.CN(C)CCOC1=CC=C(C=C1)C(=C(\CCCl)C1=CC=CC=C1)\C1=CC=CC=C1
methadone hydrochloride,methadone hydrochloride,methadone hydrochloride,most,methadone hydrochloride,Cl.CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
tolvaptan,tolvaptan,tolvaptan,less,tolvaptan,CC1=CC=CC=C1C(=O)NC1=CC=C(C(=O)N2CCCC(O)C3=C2C=CC(Cl)=C3)C(C)=C1
carisoprodol,carisoprodol,carisoprodol,less,carisoprodol,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
ziprasidone hydrochloride,ziprasidone hcl,ziprasidone hydrochloride,most,ziprasidone hydrochloride,Cl.ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
buspirone hydrochloride,buspirone hydrochloride,buspirone hydrochloride,less,buspirone hydrochloride,Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1
desipramine hydrochloride,desipramine hydrochloride,desipramine hydrochloride,less,desipramine hydrochloride,Cl.CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2
rifabutin,rifabutin,rifabutin,less,rifabutin,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(=O)C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1NC3(CCN(CC(C)C)CC3)N=C21
trandolapril,trandolapril,trandolapril,less,trandolapril,[H][C@@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O
metaxalone,metaxalone,metaxalone,no,metaxalone,CC1=CC(OCC2CNC(=O)O2)=CC(C)=C1
aprepitant,aprepitant,aprepitant,less,aprepitant,[H][C@](C)(O[C@@]1([H])OCCN(CC2=NC(=O)NN2)[C@@]1([H])C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
cinacalcet,cinacalcet,cinacalcet hydrochloride,most,cinacalcet hydrochloride,Cl.C[C@@H](NCCCC1=CC=CC(=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12
triazolam,triazolam,triazolam,no,triazolam,CC1=NN=C2CN=C(C3=C(Cl)C=CC=C3)C3=C(C=CC(Cl)=C3)N12
pimozide,pimozide,pimozide,less,pimozide,FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=C1C=CC=C2)C1=CC=C(F)C=C1
labetalol hydrochloride,labetalol hydrochloride,labetalol hydrochloride,most,labetalol hydrochloride,Cl.CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1
trospium chloride,trospium chloride,trospium chloride,less,trospium chloride,[Cl-].[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
molindone hydrochloride,molindone hydrochloride,molindone hydrochloride,less,molindone hydrochloride,Cl.CCC1=C(C)NC2=C1C(=O)C(CN1CCOCC1)CC2
clomiphene citrate,clomiphene citrate,clomiphene citrate,less,clomiphene citrate,OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1
doxycycline hyclate,doxycycline hyclate,doxycycline hyclate,ambiguous,doxycycline hyclate,O.Cl.Cl.CCO.C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)C2=C1C=CC=C2O.C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)C2=C1C=CC=C2O
diethylpropion hydrochloride er,diethylpropion hydrochloride er,diethylpropion hydrochloride,most,diethylpropion hydrochloride,Cl.CCN(CC)C(C)C(=O)C1=CC=CC=C1
perindopril erbumine,perindopril erbumine,perindopril erbumine,less,perindopril erbumine,CC(C)(C)N.CCC[C@H](N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(O)=O)C(=O)OCC
clemastine fumarate,clemastine fumarate,clemastine fumarate,less,clemastine fumarate,OC(=O)\C=C\C(O)=O.CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
sulindac,sulindac,sulindac,most,sulindac,CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)\C1=C/C1=CC=C(C=C1)S(C)=O
penicillin v potassium,penicillin v potassium,penicillin v potassium,ambiguous,penicillin v potassium,[K+].CC1(C)S[C@@H]2[C@H](NC(=O)COC3=CC=CC=C3)C(=O)N2[C@H]1C([O-])=O
metronidazole,metronidazole,metronidazole,ambiguous,metronidazole,CC1=NC=C(N1CCO)[N+]([O-])=O
piroxicam,piroxicam,piroxicam,most,piroxicam,CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O
primidone,primidone,primidone,no,primidone,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1
methocarbamol,methocarbamol,methocarbamol,less,methocarbamol,COC1=CC=CC=C1OCC(O)COC(N)=O
tamsulosin hydrochloride,tamsulosin hydrochloride,tamsulosin hydrochloride,ambiguous,tamsulosin hydrochloride,Cl.CCOC1=C(OCCN[C@H](C)CC2=CC(=C(OC)C=C2)S(N)(=O)=O)C=CC=C1
naratriptan,naratriptan,naratriptan hydrochloride,most,naratriptan hydrochloride,Cl.CNS(=O)(=O)CCC1=CC2=C(NC=C2C2CCN(C)CC2)C=C1
febuxostat,febuxostat,febuxostat,ambiguous,febuxostat,CC(C)COC1=CC=C(C=C1C#N)C1=NC(C)=C(S1)C(O)=O
cyclobenzaprine hydrochloride,cyclobenzaprine hydrochloride,cyclobenzaprine hydrochloride,less,cyclobenzaprine hydrochloride,Cl.CN(C)CCC=C1C2=C(C=CC=C2)C=CC2=C1C=CC=C2
miglitol,miglitol,miglitol,no,miglitol,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
sulfadiazine,sulfadiazine,sulfadiazine,ambiguous,sulfadiazine,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1
lansoprazole,lansoprazole,lansoprazole,less,lansoprazole,CC1=C(CS(=O)C2=NC3=CC=CC=C3N2)N=CC=C1OCC(F)(F)F
carvedilol,carvedilol,carvedilol,most,carvedilol,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1
phentermine hydrochloride,phentermine hydrochloride,phentermine hydrochloride,ambiguous,phentermine hydrochloride,Cl.CC(C)(N)CC1=CC=CC=C1
hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,less,hydrochlorothiazide,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl
theophylline (anhydrous),theophylline,theophylline anhydrous,less,theophylline anhydrous,CN1C2=C(NC=N2)C(=O)N(C)C1=O
topiramate,topiramate,topiramate,ambiguous,topiramate,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
chenodal,chenodiol,chenodiol,no,chenodiol,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
misoprostol,misoprostol,misoprostol,less,misoprostol,CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
citalopram,citalopram,citalopram,less,citalopram,CN(C)CCCC1(OCC2=CC(=CC=C12)C#N)C1=CC=C(F)C=C1
etravirine,etravirine,etravirine,less,etravirine,CC1=CC(=CC(C)=C1OC1=NC(NC2=CC=C(C=C2)C#N)=NC(N)=C1Br)C#N
clopidogrel,clopidogrel,clopidogrel bisulfate,less,clopidogrel bisulfate,OS(O)(=O)=O.COC(=O)[C@@H](N1CCC2=C(C1)C=CS2)C1=CC=CC=C1Cl
levorphanol tartrate,levorphanol tartrate,levorphanol tartrate,less,levorphanol tartrate,O[C@H]([C@@H](O)C(O)=O)C(O)=O.[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2
tinidazole,tinidazole,tinidazole,less,tinidazole,CCS(=O)(=O)CCN1C(C)=NC=C1[N+]([O-])=O
tolmetin sodium,tolmetin sodium,tolmetin sodium,most,tolmetin sodium,[Na+].CN1C(CC([O-])=O)=CC=C1C(=O)C1=CC=C(C)C=C1
terbinafine,terbinafine hydrochloride,terbinafine hydrochloride,ambiguous,terbinafine hydrochloride,Cl.CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=C1C=CC=C2
nortriptyline hydrochloride,nortriptyline hydrochloride,nortriptyline hydrochloride,most,nortriptyline hydrochloride,Cl.CNCCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2
minocycline hydrochloride,minocycline hydrochloride,minocycline hydrochloride,ambiguous,minocycline hydrochloride,Cl.CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C(O)=CC=C4N(C)C)C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O
molnupiravir,molnupiravir,molnupiravir,no,molnupiravir,CC(C)C(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C\C(NC1=O)=N\O
ismotic,isosorbide,isosorbide,no,isosorbide,O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12
sotalol,sotalol,sotalol,most,sotalol,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1
maxaquin,lomefloxacin hydrochloride,lomefloxacin hydrochloride,most,lomefloxacin hydrochloride,Cl.CCN1C=C(C(O)=O)C(=O)C2=C1C(F)=C(N1CCNC(C)C1)C(F)=C2
tolazamide,tolazamide,tolazamide,ambiguous,tolazamide,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1
terramycin,oxytetracycline hydrochloride,oxytetracycline hydrochloride,ambiguous,oxytetracycline hydrochloride,Cl.CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O
renese,polythiazide,polythiazide,less,polythiazide,CN1C(CSCC(F)(F)F)NC2=C(C=C(C(Cl)=C2)S(N)(=O)=O)S1(=O)=O
permax,pergolide,pergolide,most,pergolide,CCCN1C[C@H](CSC)C[C@H]2[C@H]1CC1=CNC3=CC=CC2=C13
vitrakvi,larotrectinib,larotrectinib,no,larotrectinib,O[C@H]1CCN(C1)C(=O)NC1=C2N=C(C=CN2N=C1)N1CCC[C@@H]1C1=C(F)C=CC(F)=C1
relistor,methylnaltrexone bromide,methylnaltrexone bromide,less,methylnaltrexone bromide,[Br-].[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CC[N+](C)(CC3CC3)[C@H](C4)[C@]1(O)CCC2=O
eszopiclone,eszopiclone,eszopiclone,less,eszopiclone,CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1
naloxone hydrochloride,naloxone hydrochloride,naloxone hydrochloride,less,naloxone hydrochloride,Cl.[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC=C)[C@H](C4)[C@]1(O)CCC2=O
phytonadione,phytonadione,phytonadione,less,phytonadione,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O
dehydrated alcohol,alcohol,alcohol,most,alcohol,CCO
compro,prochlorperazine,prochlorperazine,less,prochlorperazine,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
cetrotide,cetrorelix acetate,cetrorelix acetate,ambiguous,cetrorelix acetate,CC(O)=O.CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
firmagon,degarelix,degarelix,most,degarelix,CC(C)C[C@H](NC(=O)[C@@H](CC1=CC=C(NC(N)=O)C=C1)NC(=O)[C@H](CC1=CC=C(NC(=O)[C@@H]2CC(=O)NC(=O)N2)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
mozobil,plerixafor,plerixafor,ambiguous,plerixafor,C(N1CCCNCCNCCCNCC1)C1=CC=C(CN2CCCNCCNCCCNCC2)C=C1
vantas,histrelin acetate,histrelin acetate,most,histrelin acetate,CC(O)=O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC1=CN(CC2=CC=CC=C2)C=N1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1
vyleesi,bremelanotide,bremelanotide acetate,less,bremelanotide acetate,CC(O)=O.CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@H](NC(=O)[C@H](CC2=CNC3=CC=CC=C23)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CN=CN2)NC1=O)C(O)=O
imcivree,setmelanotide,setmelanotide,no,setmelanotide,C[C@H]1NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CC2=CNC3=CC=CC=C23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CN=CN2)NC1=O)C(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(C)=O
zegalogue,dasiglucagon,dasiglucagon,less,dasiglucagon,CC(C)C[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)NC(=O)C(C)(C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CC1=CNC=N1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H]([C@@H](C)O)C(O)=O
byetta,exenatide,exenatide,no,exenatide,CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)CNC(=O)[C@@H](N)CC1=CNC=N1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(N)=O
saxenda,liraglutide,liraglutide,less,liraglutide,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](C)NC(=O)[C@@H](N)CC1=CN=CN1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(O)=O)C(O)=O
xyosted,testosterone enanthate,testosterone enanthate,most,testosterone enanthate,[H][C@@]12CC[C@H](OC(=O)CCCCCC)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
voxzogo 0.4mg; voxzogo 0.56mg; voxzogo 1.2mg,vosoritide,vosoritide,less,vosoritide,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCSC)NC(=O)[C@H](CO)NC(=O)CNC1=O)C(O)=O)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC1=CN=CN1)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@@H]1CCCN1
zoladex,goserelin,goserelin acetate,most,goserelin acetate,CC(O)=O.CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O
synribo,omacetaxine mepesuccinate,omacetaxine mepesuccinate,less,omacetaxine mepesuccinate,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2C3=C(CCN4CCCC24C=C1OC)C=C1OCOC1=C3
copaxone,glatiramer acetate,glatiramer acetate,less,glatiramer acetate,CC(O)=O.C[C@H](N)C(O)=O.NCCCC[C@H](N)C(O)=O.N[C@@H](CCC(O)=O)C(O)=O.N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
nexplanon,etonogestrel,etonogestrel,most,etonogestrel,CC[C@]12CC(=C)[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
fuzeon,enfuvirtide,enfuvirtide,less,enfuvirtide,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(C)=O)[C@@H](C)O)[C@@H](C)CC)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
kynamro,mipomersen sodium,mipomersen sodium,no,mipomersen sodium,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].COCCO[C@H]1[C@@H](O)[C@H](COP([O-])(=O)S[C@H]2[C@H](COP([O-])(=O)S[C@H]3[C@H](COP([O-])(=O)S[C@H]4[C@H](COP([O-])(=O)S[C@@H]5[C@@H](COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@@H]6[C@@H](COP([O-])(=O)S[C@@H]7[C@@H](COP([O-])(=O)S[C@@H]8[C@@H](COP([O-])(=O)S[C@@H]9[C@@H](COP([O-])(=O)S[C@@H]%10[C@@H](CO)O[C@H]([C@@H]%10OCCOC)N%10C=NC%11=C%10N=C(N)NC%11=O)O[C@H]([C@@H]9OCCOC)N9C=C(C)C(N)=NC9=O)O[C@H]([C@@H]8OCCOC)N8C=C(C)C(N)=NC8=O)O[C@H]([C@@H]7OCCOC)N7C=C(C)C(=O)NC7=O)O[C@H]([C@@H]6OCCOC)N6C=C(C)C(N)=NC6=O)N6C=NC7=C(N)N=CN=C67)N6C=NC7=C6N=C(N)NC7=O)N6C=C(C)C(=O)NC6=O)N6C=C(C)C(N)=NC6=O)N6C=C(C)C(=O)NC6=O)N6C=NC7=C6N=C(N)NC7=O)N6C=C(C)C(N)=NC6=O)N6C=C(C)C(=O)NC6=O)N6C=C(C)C(=O)NC6=O)N6C=C(C)C(N)=NC6=O)O[C@H]([C@@H]5OCCOC)N5C=NC6=C5N=C(N)NC6=O)O[C@@H]([C@H]4OCCOC)N4C=C(C)C(N)=NC4=O)O[C@@H]([C@H]3OCCOC)N3C=NC4=C(N)N=CN=C34)O[C@@H]([C@H]2OCCOC)N2C=C(C)C(N)=NC2=O)O[C@@H]1N1C=C(C)C(N)=NC1=O
kybella,deoxycholic acid,deoxycholic acid,less,deoxycholic acid,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
fondaparinux sodium,fondaparinux sodium,fondaparinux sodium,no,fondaparinux sodium,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].CO[C@H]1O[C@H](COS([O-])(=O)=O)[C@@H](O[C@@H]2O[C@H]([C@@H](O[C@H]3O[C@H](COS([O-])(=O)=O)[C@@H](O[C@@H]4O[C@@H]([C@@H](O[C@H]5O[C@H](COS([O-])(=O)=O)[C@@H](O)[C@H](O)[C@H]5NS([O-])(=O)=O)[C@H](O)[C@H]4O)C([O-])=O)[C@H](OS([O-])(=O)=O)[C@H]3NS([O-])(=O)=O)[C@H](O)[C@H]2OS([O-])(=O)=O)C([O-])=O)[C@H](O)[C@H]1NS([O-])(=O)=O
terbutaline sulfate,terbutaline sulfate,terbutaline sulfate,most,terbutaline sulfate,OS(O)(=O)=O.CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1.CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1
fyremadel,ganirelix acetate,ganirelix acetate,no,ganirelix acetate,CC([O-])=O.CC([O-])=O.CCNC(NCC)=NCCCC[C@@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN=C(NCC)NCC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
mepivacaine hydrochloride,mepivacaine hydrochloride,mepivacaine hydrochloride,ambiguous,mepivacaine hydrochloride,Cl.CN1CCCCC1C(=O)NC1=C(C)C=CC=C1C
