Trade Name,Generic/Proper Name(s),Active Ingredient(s),SMILES,DICT _ Concern
rifadin iv novaplus,rifampin,rifampin,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N1CCN(C)CC1)=C2O,ambiguous
priftin,rifapentine,rifapentine,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N1CCN(CC1)C1CCCC1)=C2O,less
aemcolo,rifamycin,rifamycin,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C=C2O,no
xifaxan,rifaximin,rifaximin,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C1=C2N=C2C=C(C)C=CN12,no
jevtana,cabazitaxel,cabazitaxel,CO[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C4=CC=CC=C4)C(C)=C([C@@H](OC)C(=O)[C@]12C)C3(C)C,ambiguous
,cisapride,cisapride,CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC,most
cefditoren pivoxil,cefditoren pivoxil,cefditoren pivoxil,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(\C=C/C3=C(C)N=CS3)=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)C1=CSC(N)=N1,no
moxidectin,moxidectin,moxidectin,CO\N=C1/C[C@]2(C[C@@H]3C[C@@H](C\C=C(C)\C[C@@H](C)\C=C\C=C4/CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@@H]([C@H]1C)C(\C)=C\C(C)C,less
ambrisentan,ambrisentan,ambrisentan,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,less
dexmethylphenidate hydrochloride,dexmethylphenidate hydrochloride,dexmethylphenidate hydrochloride,COC(=O)[C@@H]([C@H]1CCCCN1)C2=CC=CC=C2.Cl,most
datscan,ioflupane i-123,ioflupane i-123,COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1C1=CC=C([123I])C=C1)N2CCCF,no
dimethyl fumarate,dimethyl fumarate,dimethyl fumarate,COC(=O)\C=C\C(=O)OC,no
vumerity,diroximel fumarate,diroximel fumarate,COC(=O)\C=C\C(=O)OCCN1C(=O)CCC1=O,no
bafiertam,monomethyl fumarate,monomethyl fumarate,COC(=O)\C=C\C(O)=O,no
cotempla xr-odt,methylphenidate,methylphenidate,COC(=O)C(C1CCCCN1)C1=CC=CC=C1,most
synribo,omacetaxine mepesuccinate,omacetaxine mepesuccinate,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2C3=C(CCN4CCCC24C=C1OC)C=C1OCOC1=C3,less
nifedipine,nifedipine,nifedipine,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC,less
sular,nisoldipine,nisoldipine,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C,less
isradipine,isradipine,isradipine,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C,less
adempas,riociguat,riociguat,COC(=O)N(C)C1=C(N)N=C(N=C1N)C1=NN(CC2=CC=CC=C2F)C2=C1C=CC=N2,less
verquvo,vericiguat,vericiguat,COC(=O)NC1=C(N)N=C(N=C1N)C1=NN(CC2=CC=CC=C2F)C2=NC=C(F)C=C12,less
vermox,mebendazole,mebendazole,COC(=O)NC1=NC2=C(N1)C=CC(=C2)C(=O)C1=CC=CC=C1,no
vimpat,lacosamide,lacosamide,COC[C@@H](NC(C)=O)C(=O)NCC1=CC=CC=C1,most
acitretin,acitretin,acitretin,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,less
mycophenolate mofetil,mycophenolate mofetil,mycophenolate mofetil,COC1=C(C)C2=C(C(=O)OC2)C(O)=C1C\C=C(/C)CCC(=O)OCCN1CCOCC1,less
mycophenolic acid,mycophenilic acid,mycophenolic acid,COC1=C(C)C2=C(C(=O)OC2)C(O)=C1C\C=C(/C)CCC(O)=O,less
mycophenolic acid,mycophenolic acid,mycophenolate sodium,COC1=C(C)C2=C(C(=O)OC2)C(O)=C1C\C=C(/C)CCC(O)=O,less
glyburide,glyburide,glyburide,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,ambiguous
viberzi,eluxadoline,eluxadoline,COC1=C(C=C(CN([C@@H](C)C2=NC=C(N2)C2=CC=CC=C2)C(=O)[C@@H](N)CC2=C(C)C=C(C=C2C)C(N)=O)C=C1)C(O)=O,no
stendra,avanafil,avanafil,COC1=C(Cl)C=C(CNC2=NC(=NC=C2C(=O)NCC2=NC=CC=N2)N2CCC[C@H]2CO)C=C1,less
olinvyk,oliceridine,oliceridine,COC1=C(CNCC[C@]2(CCOC3(CCCC3)C2)C2=NC=CC=C2)SC=C1,most
vizimpro,dacomitinib,dacomitinib,COC1=C(NC(=O)\C=C\CN2CCCCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,no
exkivity,mobocertinib,mobocertinib,COC1=C(NC2=NC=C(C(=O)OC(C)C)C(=N2)C2=CN(C)C3=C2C=CC=C3)C=C(NC(=O)C=C)C(=C1)N(C)CCN(C)C,most
alunbrig,brigatinib,brigatinib,COC1=C(NC2=NC=C(Cl)C(NC3=C(C=CC=C3)P(C)(C)=O)=N2)C=CC(=C1)N1CCC(CC1)N1CCN(C)CC1,less
tagrisso,osimertinib,osimertinib,COC1=C(NC2=NC=CC(=N2)C2=CN(C)C3=CC=CC=C23)C=C(NC(=O)C=C)C(=C1)N(C)CCN(C)C,most
colchicine,colchicine,colchiceine,COC1=C(OC)C(OC)=C2C(CC[C@H](N=C(C)O)C3=CC(=O)C(O)=CC=C23)=C1,no
fotivda,tivozanib,tivozanib hydrochloride,COC1=C(OC)C=C2C(OC3=CC(Cl)=C(NC(=O)NC4=NOC(C)=C4)C=C3)=CC=NC2=C1,most
ranolazine,ranolazine,ranolazine,COC1=C(OCC(O)CN2CCN(CC(=O)NC3=C(C)C=CC=C3C)CC2)C=CC=C1,most
fanapt,iloperidone,iloperidone,COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O,most
iressa,gefitinib,gefitinib,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,no
aliqopa,copanlisib,copanlisib,COC1=C(OCCCN2CCOCC2)C=CC2=C1N=C(NC(=O)C1=CN=C(N)N=C1)N1CCN=C21,less
carvedilol,carvedilol,carvedilol,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,most
nelarabine,nelarabine,nelarabine,COC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O)C2=NC(N)=N1,no
balversa,erdafitinib,erdafitinib,COC1=CC(=CC(OC)=C1)N(CCNC(C)C)C1=CC=C2N=CC(=NC2=C1)C1=CN(C)N=C1,less
etopophos,etoposide phosphate,etoposide phosphate,COC1=CC(=CC(OC)=C1OP(O)(O)=O)[C@H]1[C@@H]2C(COC2=O)C(O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)C2=CC3=C(OCO3)C=C12,no
arakoda,tafenoquine,tafenoquine,COC1=CC(C)=C2C(OC3=CC(=CC=C3)C(F)(F)F)=C(OC)C=C(NC(C)CCCN)C2=N1,ambiguous
trimethoprim,trimethoprim,trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,no
tavalisse,fostamatinib,fostamatinib,COC1=CC(NC2=NC=C(F)C(NC3=NC4=C(OC(C)(C)C(=O)N4COP(O)(O)=O)C=C3)=N2)=CC(OC)=C1OC,most
,buflomedil,buflomedil,COC1=CC(OC)=C(C(=O)CCCN2CCCC2)C(OC)=C1,most
ultramicrosize griseofulvin,ultramicrosize griseofulvin,griseofulvin,COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC,no
,encainide,encainide,COC1=CC=C(C=C1)C(=O)NC1=CC=CC=C1CCC1CCCCN1C,most
venlafaxine hydrochloride,venlafaxine hydrochloride,venlafaxine,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,less
eliquis,apixaban,apixaban,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O,less
,astemizole,astemizole,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1,most
prilosec,omeprazole magnesium,omeprazole magnesium,COC1=CC=C2C([N-]C3=[N]2[Mg++]2([O]=S3CC3=C(C)C(OC)=C(C)C=N3)[O]=S(CC3=C(C)C(OC)=C(C)C=N3)C3=[N]2C2=CC=C(OC)C=C2[N-]3)=C1,less
prevymis,letermovir,letermovir,COC1=CC=CC(=C1)N1CCN(CC1)C1=NC2=C(C=CC=C2F)[C@H](CC(O)=O)N1C1=C(OC)C=CC(=C1)C(F)(F)F,less
mytesi,crofelemer,crofelemer,COC1=CC=CC=C1CNC(=O)C2=NOC(=C2)C3=CC=CC=C3,no
bosentan,bosentan,bosentan,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,less
bosentan,bosentan,bosentan anhydrous,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,less
methocarbamol,methocarbamol,methocarbamol,COC1=CC=CC=C1OCC(O)COC(N)=O,less
colchicine,colchicine,colchicine,COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1[C@H](CC2)NC(C)=O,no
indomethacin,indomethacin,indomethacin,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,most
yondelis,trabectedin,trabectedin,COC1=CC2=C(CCN[C@]22CS[C@H]3[C@H]4[C@@H]5N(C)[C@@H](CC6=C5C(O)=C(OC)C(C)=C6)[C@H](O)N4[C@@H](COC2=O)C2=C3C(OC(C)=O)=C(C)C3=C2OCO3)C=C1O,most
omeprazole,omeprazole,omeprazole,COC1=CC2=C(NC(=N2)S(=O)CC2=C(C)C(OC)=C(C)C=N2)C=C1,less
zepzelca,lurbinectedin,lurbinectedin,COC1=CC2=C(NC3=C2CCN[C@]32CS[C@H]3[C@H]4[C@@H]5N(C)[C@@H](CC6=C5C(O)=C(OC)C(C)=C6)[C@H](O)N4[C@@H](COC2=O)C2=C4OCOC4=C(C)C(OC(C)=O)=C32)C=C1,no
caprelsa,vandetanib,vandetanib,COC1=CC2=C(NC3=CC=C(Br)C=C3F)N=CN=C2C=C1OCC1CCN(C)CC1,most
naproxen,naproxen,naproxen,COC1=CC2=CC=C(C=C2C=C1)[C@H](C)C(O)=O,most
nabumetone,nabumetone,nabumetone,COC1=CC2=CC=C(CCC(C)=O)C=C2C=C1,most
lenvima,lenvatinib,lenvatinib,COC1=CC2=NC=CC(OC3=CC(Cl)=C(NC(=O)NC4CC4)C=C3)=C2C=C1C(N)=O,most
retevmo,selpercatinib,selpercatinib,COC1=NC=C(CN2C3CC2CN(C3)C2=NC=C(C=C2)C2=CC(OCC(C)(C)O)=CN3N=CC(C#N)=C23)C=C1,most
,mibefradil,mibefradil,COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=C(N2)C=CC=C3)CCC2=C(C=CC(F)=C2)[C@@H]1C(C)C,most
cefpodoxime proxetil,cefpodoxime proxetil,cefpodoxime proxetil,COCC1=C(N2[C@H](SC1)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C2=O)C(=O)OC(C)OC(=O)OC(C)C,less
metoprolol succinate,metoprolol succinate,metoprolol tartrate,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,most
metoprolol succinate,metoprolol succinate,metoprolol succinate,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,most
nimodipine,nimodipine,nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C,less
erlotinib,erlotinib,erlotinib,COCCOC1=CC2=NC=NC(NC3=CC=CC(=C3)C#C)=C2C=C1OCCOC,ambiguous
cefuroxime axetil,cefuroxime axetil,cefuroxime axetil,CON=C(C(=O)N[C@H]1[C@H]2SCC(COC(N)=O)=C(N2C1=O)C(=O)OC(C)OC(C)=O)C1=CC=CO1,less
neostigmine methylsulfate,neostigmine methylsulfate,neostigmine methylsulfate,COS([O-])(=O)=O.CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,less
erivedge,vismodegib,vismodegib,CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC(=C(Cl)C=C1)C1=CC=CC=N1,no
,rofecoxib,rofecoxib,CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1,most
welireg,belzutifan,belzutifan,CS(=O)(=O)C1=CC=C(OC2=CC(F)=CC(=C2)C#N)C2=C1[C@H](O)[C@H](F)[C@@H]2F,less
tykerb,lapatinib,lapatinib ditosylate,CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(NC3=CC=C(OCC4=CC(F)=CC=C4)C(Cl)=C3)N=CN=C2C=C1,most
busulfan,busulfan,busulfan,CS(=O)(=O)OCCCCOS(C)(=O)=O,less
rimso-50,dimethyl sulfoxide,dimethyl sulfoxide,CS(C)=O,no
mekinist,trametinib,trametinib dimethyl sulfoxide,CS(C)=O.CN1C(=O)C(C)=C2N(C(=O)N(C3CC3)C(=O)C2=C1NC1=C(F)C=C(I)C=C1)C1=CC=CC(NC(C)=O)=C1,most
trovan,trovafloxacin mesylate,trovafloxacin mesylate,CS(O)(=O)=O.[H][C@@]12CN(C[C@]1([H])[C@H]2N)C1=C(F)C=C2C(=O)C(=CN(C3=CC=C(F)C=C3F)C2=N1)C(O)=O,most
anzemet,dolasetron mesylate,dolasetron mesylate,CS(O)(=O)=O.[H][C@]12C[C@@H](C[C@]3([H])CC(C1)C(=O)CN23)OC(=O)C1=CNC2=C1C=CC=C2,most
rasagiline,rasagiline,rasagiline mesylate,CS(O)(=O)=O.C#CCN[C@@H]1CCC2=CC=CC=C12,less
xadago,safinamide mesylate,safinamide mesylate,CS(O)(=O)=O.C[C@H](NCC1=CC=C(OCC2=CC=CC(F)=C2)C=C1)C(N)=O,less
deferoxamine mesylate,deferoxamine mesylate,deferoxamine mesylate,CS(O)(=O)=O.CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,less
tafinlar,dabrafenib,dabrafenib mesylate,CS(O)(=O)=O.CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1,most
invirase,saquinavir mesylate,saquinavir mesylate,CS(O)(=O)=O.CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=NC2=C(C=CC=C2)C=C1,most
idhifa,enasidenib mesylate,enasidenib mesylate,CS(O)(=O)=O.CC(C)(O)CNC1=NC(NC2=CC=NC(=C2)C(F)(F)F)=NC(=N1)C1=CC=CC(=N1)C(F)(F)F,most
bromocriptine mesylate,bromocriptine mesylate,bromocriptine mesylate,CS(O)(=O)=O.CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C,most
pradaxa,dabigatran etexilate mesylate,dabigatran etexilate mesylate,CS(O)(=O)=O.CCCCCCOC(=O)\N=C(/N)C1=CC=C(NCC2=NC3=C(C=CC(=C3)C(=O)N(CCC(=O)OCC)C3=CC=CC=N3)N2C)C=C1,most
ziprasidone mesylate,ziprasidone mesylate,ziprasidone mesylate,CS(O)(=O)=O.ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,less
imatinib mesylate,imatinib mesylate,imatinib mesylate,CS(O)(=O)=O.CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CC=CN=C3)=C(C)C=C2)CC1,most
factive,gemifloxacin mesylate,gemifloxacin mesylate,CS(O)(=O)=O.CO\N=C1/CN(CC1CN)C1=NC2=C(C=C1F)C(=O)C(=CN2C1CC1)C(O)=O,most
vyvanse,lisdexamfetamine dimesylate,lisdexamfetamine dimesylate,CS(O)(=O)=O.CS(O)(=O)=O.C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN,most
juxtapid,lomitapide mesylate,lomitapide mesylate,CS(O)(=O)=O.FC(F)(F)CNC(=O)C1(CCCCN2CCC(CC2)NC(=O)C2=CC=CC=C2C2=CC=C(C=C2)C(F)(F)F)C2=CC=CC=C2C2=CC=CC=C12,less
pexeva,paroxetine mesylate,paroxetine mesylate,CS(O)(=O)=O.FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,less
corlopam,fenoldopam mesylate,fenoldopam mesylate,CS(O)(=O)=O.OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12,less
fexinidazole,fexinidazole,fexinidazole,CSC1=CC=C(OCC2=NC=C(N2C)[N+]([O-])=O)C=C1,most
egaten,triclabendazole,triclabendazole,CSC1=NC2=C(N1)C=C(OC1=CC=CC(Cl)=C1Cl)C(Cl)=C2,most
kinevac,sincalide,sincalide,CSCC[C@H](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@@H](N)CC(O)=O)C(=O)NCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,less
cortrosyn,cortrosyn,cosyntropin,CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)C(N)CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCNC(N)=N)C(=O)N[C@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N1CCC[C@H]1C(O)=O,less
kengreal,cangrelor,cangrelor,CSCCNC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)C(Cl)(Cl)P(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC(SCCC(F)(F)F)=N1,no
efavirenz,efavirenz,efavirenz,FC(F)(F)[C@]1(OC(=O)NC2=CC=C(Cl)C=C12)C#CC1CC1,most
definity rt,perflutren,perflutren,FC(F)(F)C(F)(F)C(F)(F)F,most
xpovio,selinexor,selinexor,FC(F)(F)C1=CC(=CC(=C1)C1=NN(\C=C/C(=O)NNC2=NC=CN=C2)C=N1)C(F)(F)F,less
addyi,flibanserin,flibanserin,FC(F)(F)C1=CC=C(C=C1)N1CCN(CCN2C(=O)NC3=CC=CC=C23)CC1,less
daliresp,roflumilast,roflumilast,FC(F)OC1=CC=C(C=C1OCC1CC1)C(=O)NC1=C(Cl)C=NC=C1Cl,less
lynparza,olaparib,olaparib,FC1=C(C=C(CC2=NNC(=O)C3=CC=CC=C23)C=C1)C(=O)N1CCN(CC1)C(=O)C1CC1,no
tibsovo,ivosidenib,ivosidenib,FC1=CC(=CN=C1)N([C@H](C(=O)NC1CC(F)(F)C1)C1=CC=CC=C1Cl)C(=O)[C@@H]1CCC(=O)N1C1=CC(=CC=N1)C#N,most
paroxetine,paroxetine hydrochloride,paroxetine hydrochloride anhydrous,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,less
paroxetine,paroxetine hydrochloride,paroxetine hydrochloride anhydrous,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,less
droperidol,droperidol,droperidol,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12,most
pimozide,pimozide,pimozide,FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=C1C=CC=C2)C1=CC=C(F)C=C1,less
,sertindole,sertindole,FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=C1C=CC(Cl)=C2,most
quazepam,quazepam,quazepam,FC1=CC=CC=C1C1=NCC(=S)N(CC(F)(F)F)C2=C1C=C(Cl)C=C2,no
jakafi,ruxolitinib,ruxolitinib,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,most
letrozole,letrozole,letrozole,N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N,less
cisplatin,cisplatin,cisplatin,N.N.[Cl-].[Cl-].[Pt++],less
pranactin-citric,urea c-13,urea c-13,N[13C](O)=N,no
pytest,"urea, c-14",urea c-14,N[14C](N)=O,no
northera,droxidopa,droxidopa,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O,most
synthroid,levothyroxine sodium,levothyroxine,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,less
fluorodopa f18,fluorodopa f18,fluorodopa f-18,N[C@@H](CC1=CC(O)=C(O)C=C1[18F])C(O)=O,no
melphalan,"melphalan usp, 2 mg",melphalan,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O,less
sunosi,solriamfetol,solriamfetol,N[C@@H](COC(N)=O)CC1=CC=CC=C1,less
seromycin,cycloserine,cycloserine,N[C@@H]1CONC1=O,less
axumin,fluciclovine f-18,fluciclovine f-18,N[C@]1(C[C@H]([18F])C1)C(O)=O,no
guanfacine extended-release,guanfacine,guanfacine,NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl,less
adreview,iobenguane i-123,iobenguane i-123,NC(=N)NCC1=CC([123I])=CC=C1,ambiguous
azedra,iobenguane i-131,iobenguane i-131,NC(=N)NCC1=CC([131I])=CC=C1,less
enablex,darifenacin,darifenacin,NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,less
brukinsa,zanubrutinib,zanubrutinib,NC(=O)C1=C2NCC[C@@H](C3CCN(CC3)C(=O)C=C)N2N=C1C1=CC=C(OC2=CC=CC=C2)C=C1,less
zejula,niraparib,niraparib,NC(=O)C1=CC=CC2=CN(N=C12)C1=CC=C(C=C1)[C@@H]1CCCNC1,less
rufinamide,rufinamide,rufinamide,NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1,less
pyrazinamide,pyrazinamide,pyrazinamide,NC(=O)C1=NC=CN=C1,no
ribavirin,ribavirin,ribavirin,NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,ambiguous
modafinil,modafinil,modafinil,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,ambiguous
carglumic acid,carglumic acid,carglumic acid,NC(=O)N[C@@H](CCC(O)=O)C(O)=O,no
carbamazepine,carbamazepine,carbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2,most
oxcarbazepine,oxcarbazepine,oxcarbazepine,NC(=O)N1C2=CC=CC=C2CC(=O)C2=CC=CC=C12,less
zokinvy,lonafarnib,lonafarnib,NC(=O)N1CCC(CC(=O)N2CCC(CC2)[C@H]2C3=C(CCC4=C2C(Br)=CC(Cl)=C4)C=C(Br)C=N3)CC1,less
hydroxyurea,hydroxyurea,hydroxyurea,NC(=O)NO,no
xcopri; xcopri maintenance pack; xcopri titration pack,cenobamate,cenobamate,NC(=O)O[C@@H](CN1N=CN=N1)C1=CC=CC=C1Cl,most
felbamate,felbamate,felbamate,NC(=O)OCC(COC(N)=O)C1=CC=CC=C1,less
endari,glutamine,glutamine,NC(CCC(N)=O)C(O)=O,no
vigabatrin,vigabatrin,vigabatrin,NC(CCC(O)=O)C=C,no
tham,tromethamine,tromethamine,NC(CO)(CO)CO,no
carboprost tromethamine,carboprost tromethamine,carboprost tromethamine,NC(CO)(CO)CO.CCCCC[C@](C)(O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O,less
ketorolac tromethamine,ketorolac tromethamine,ketorolac tromethamine,NC(CO)(CO)CO.OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1,most
famotidine,famotidine,famotidine,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,less
tranexamic acid,tranexamic acid,tranexamic acid,NC[C@H]1CC[C@@H](CC1)C(O)=O,ambiguous
pomalyst,pomalidomide,pomalidomide,NC1=C2C(=O)N(C3CCC(=O)NC3=O)C(=O)C2=CC=C1,most
revlimid,lenalidomide,lenalidomide,NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC=C1,most
minoxidil,minoxidil,minoxidil,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,most
paser,aminosalicylic acid,aminosalicylic acid,NC1=CC=C(C(O)=O)C(O)=C1,less
sulfadiazine,sulfadiazine,sulfadiazine,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,ambiguous
mesalamine,mesalamine,mesalamine,NC1=CC=C(O)C(=C1)C(O)=O,ambiguous
dalfampridine,dalfampridine,dalfampridine,NC1=CC=NC=C1,no
cefdinir,cefdinir,cefdinir,NC1=NC(=CS1)C(=N\O)\C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O,less
cefdinir,cefdinir,cefdinir monohydrate,NC1=NC(=CS1)C(=N\O)\C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O,less
